storeid,brand,name,lat,lon,postalCode,address,business_hour1,business_hour2,business_hour3
227,すき家,上六店,34.6638642808693,135.519095705122,543-0001,大阪府大阪市天王寺区上本町6-9-20,24時間営業,,
229,すき家,岩沼中央店,38.1080921901194,140.873568258874,989-2433,宮城県岩沼市桜3-12-15,24時間営業,,
230,すき家,姫路広畑店,34.7954534178634,134.621588905217,671-1154,兵庫県姫路市広畑区吾妻町3-21,24時間営業,,
231,すき家,門真中央店,34.7357927568177,135.601949956523,571-0076,大阪府門真市大池町16-25,24時間営業,,
232,すき家,新宿南店,35.6899387372558,139.703759258553,160-0022,東京都新宿区新宿3-32-2,24時間営業,,
233,すき家,成田東店,35.7843642685453,140.328290266053,286-0022,千葉県成田市寺台28-1,24時間営業,,
235,すき家,本厚木店,35.4418151483636,139.362454306681,243-0018,神奈川県厚木市中町3-13-1,24時間営業,,
236,すき家,三宮店,34.6943355992061,135.192760015011,650-0012,兵庫県神戸市中央区北長狭通1-20-2,24時間営業,,
237,すき家,立町店,34.3941341597351,132.461037094309,730-0032,広島県広島市中区立町2-1　立町中央ビル1F,24時間営業,,
238,すき家,橿原店,34.5212021799014,135.797445546435,634-0007,奈良県橿原市葛本町東笠706,24時間営業,,
240,すき家,中山店,35.5086428455307,139.544418895267,226-0011,神奈川県横浜市緑区中山町791-2,24時間営業,,
242,すき家,明石西IC店,34.7192204903942,134.893636488858,674-0074,兵庫県明石市魚住町清水2128-2,24時間営業,,
243,すき家,脇浜店,34.7010246928579,135.21363769535,651-0072,兵庫県神戸市中央区脇浜町2-5-19,24時間営業,,
244,すき家,円町店,35.0188022607789,135.732183886824,604-8463,京都府京都市中京区西ノ京円町23　円町杉本ビル1F,24時間営業,,
245,すき家,新井店,37.0275740337043,138.226950034685,944-0075,新潟県妙高市大字猪野山55-16,月・0:00～24:00,火～金・5:00～24:00,土日・0:00～24:00
246,すき家,浦和桜田店,35.853107660348,139.623493133405,338-0833,埼玉県さいたま市桜区桜田3-1-16,24時間営業,,
